GENE	ENSG
ITGA3	ENSG00000005884
ZFX	ENSG00000005889
LAMP2	ENSG00000005893
ITGA2B	ENSG00000005961
ASB4	ENSG00000005981
GDE1	ENSG00000006007
REX1BD	ENSG00000006015
CRLF1	ENSG00000006016
OSBPL7	ENSG00000006025
TMEM98	ENSG00000006042
YBX2	ENSG00000006047
KRT33A	ENSG00000006059
MAP3K14	ENSG00000006062
ABCC8	ENSG00000006071
CACNG3	ENSG00000006116
TMEM132A	ENSG00000006118
AP2B1	ENSG00000006125
TAC1	ENSG00000006128
ZNF263	ENSG00000006194
CX3CL1	ENSG00000006210
SPATA20	ENSG00000006282
CACNA1G	ENSG00000006283
TNFRSF12A	ENSG00000006327
DLX6	ENSG00000006377
MAP3K9	ENSG00000006432
RALA	ENSG00000006451
BAIAP2L1	ENSG00000006453
KDM7A	ENSG00000006459
ETV1	ENSG00000006468
AGK	ENSG00000006530
ALDH3B1	ENSG00000006534
TTC22	ENSG00000006555
PHTF2	ENSG00000006576
CCL26	ENSG00000006606
FARP2	ENSG00000006607
USH1C	ENSG00000006611
GGCT	ENSG00000006625
DBF4	ENSG00000006634
TBXA2R	ENSG00000006638
IFRD1	ENSG00000006652
LGALS14	ENSG00000006659
COX10	ENSG00000006695
GTF2IRD1	ENSG00000006704
PAF1	ENSG00000006712
VPS41	ENSG00000006715
ARHGAP44	ENSG00000006740
ELAC2	ENSG00000006744
SCIN	ENSG00000006747
ARSD	ENSG00000006756
PNPLA4	ENSG00000006757
MYH13	ENSG00000006788
ADIPOR2	ENSG00000006831
CDKL3	ENSG00000006837
UPP2	ENSG00000007001
PRSS21	ENSG00000007038
MARK4	ENSG00000007047
PROM1	ENSG00000007062
CCDC124	ENSG00000007080
CEACAM21	ENSG00000007129
PAFAH1B1	ENSG00000007168
NOS2	ENSG00000007171
DNAH9	ENSG00000007174
KIAA0100	ENSG00000007202
SLC13A2	ENSG00000007216
AC005747.1	ENSG00000007237
TRAPPC6A	ENSG00000007255
MATK	ENSG00000007264
CEACAM7	ENSG00000007306
CD79B	ENSG00000007312
SCN4A	ENSG00000007314
ST7L	ENSG00000007341
TKTL1	ENSG00000007350
PAX6	ENSG00000007372
RPUSD1	ENSG00000007376
RHBDF1	ENSG00000007384
LUC7L	ENSG00000007392
CACNA2D2	ENSG00000007402
BAIAP3	ENSG00000007516
TSR3	ENSG00000007520
PIGQ	ENSG00000007541
CRAMP1	ENSG00000007545
TEAD3	ENSG00000007866
SELE	ENSG00000007908
DNAJC11	ENSG00000007923
FMO3	ENSG00000007933
MYLIP	ENSG00000007944
NOX1	ENSG00000007952
E2F2	ENSG00000007968
PSMB1	ENSG00000008018
SYN1	ENSG00000008056
JARID2	ENSG00000008083
CDKL5	ENSG00000008086
CAMK1G	ENSG00000008118
CDK11A	ENSG00000008128
NADK	ENSG00000008130
TFAP2B	ENSG00000008196
TFAP2D	ENSG00000008197
DLEC1	ENSG00000008226
CYTH3	ENSG00000008256
ADAM22	ENSG00000008277
SYPL1	ENSG00000008282
CYB561	ENSG00000008283
SPAG9	ENSG00000008294
CELSR3	ENSG00000008300
AASS	ENSG00000008311
PLEKHG6	ENSG00000008323
SS18L2	ENSG00000008324
MPND	ENSG00000008382
MGST1	ENSG00000008394
CRY1	ENSG00000008405
PGLYRP1	ENSG00000008438
NFIX	ENSG00000008441
ST3GAL1	ENSG00000008513
MMP25	ENSG00000008516
IL32	ENSG00000008517
PKD1	ENSG00000008710
MAPK8IP2	ENSG00000008735
MED24	ENSG00000008838
RHOBTB2	ENSG00000008853
HEATR5B	ENSG00000008869
SEC62	ENSG00000008952
RPS20	ENSG00000008988
CSDE1	ENSG00000009307
UBE3C	ENSG00000009335
REV3L	ENSG00000009413
TENM1	ENSG00000009694
PAX7	ENSG00000009709
MASP2	ENSG00000009724
IYD	ENSG00000009765
FAM76A	ENSG00000009780
TRAF3IP3	ENSG00000009790
POMT2	ENSG00000009830
VTA1	ENSG00000009844
MLXIPL	ENSG00000009950
BAZ1B	ENSG00000009954
RANBP9	ENSG00000010017
ETV7	ENSG00000010030
SPRTN	ENSG00000010072
EEF1AKNMT	ENSG00000010165
DYRK4	ENSG00000010219
ZNF207	ENSG00000010244
UQCRC1	ENSG00000010256
STARD3NL	ENSG00000010270
CD9	ENSG00000010278
HHATL	ENSG00000010282
NCAPD2	ENSG00000010292
IFFO1	ENSG00000010295
GIPR	ENSG00000010310
PHF7	ENSG00000010318
SEMA3G	ENSG00000010319
NISCH	ENSG00000010322
STAB1	ENSG00000010327
FUZ	ENSG00000010361
SLC6A13	ENSG00000010379
IDS	ENSG00000010404
PRSS3	ENSG00000010438
ZNF200	ENSG00000010539
CD4	ENSG00000010610
LRRC23	ENSG00000010626
BTK	ENSG00000010671
HFE	ENSG00000010704
SCMH1	ENSG00000010803
FYN	ENSG00000010810
HIVEP2	ENSG00000010818
FMO1	ENSG00000010932
ELOA	ENSG00000011007
LYPLA2	ENSG00000011009
CLCN6	ENSG00000011021
MRC2	ENSG00000011028
NME1-NME2	ENSG00000011052
SLC6A7	ENSG00000011083
TSPAN9	ENSG00000011105
BTBD7	ENSG00000011114
APBA3	ENSG00000011132
MKS1	ENSG00000011143
ABHD5	ENSG00000011198
ANOS1	ENSG00000011201
AKAP8L	ENSG00000011243
MBTD1	ENSG00000011258
UTP18	ENSG00000011260
RNF216	ENSG00000011275
TTC19	ENSG00000011295
PTBP1	ENSG00000011304
DPF1	ENSG00000011332
SYT7	ENSG00000011347
LARS2	ENSG00000011376
PIK3C2A	ENSG00000011405
PLAUR	ENSG00000011422
ANLN	ENSG00000011426
WIZ	ENSG00000011451
RABGAP1	ENSG00000011454
DCN	ENSG00000011465
QPCTL	ENSG00000011478
PPP5C	ENSG00000011485
CEP68	ENSG00000011523
MAP4K3	ENSG00000011566
ZBTB32	ENSG00000011590
TYROBP	ENSG00000011600
TMEM159	ENSG00000011638
GABRA3	ENSG00000011677
BRCA1	ENSG00000012048
ERCC1	ENSG00000012061
CD22	ENSG00000012124
SEMA3B	ENSG00000012171
MBTPS2	ENSG00000012174
PRICKLE3	ENSG00000012211
LTF	ENSG00000012223
EXTL3	ENSG00000012232
NR1H4	ENSG00000012504
ELOVL5	ENSG00000012660
ALOX5	ENSG00000012779
KDM5D	ENSG00000012817
CALCOCO1	ENSG00000012822
UBR7	ENSG00000012963
MAP4K5	ENSG00000012983
EHD3	ENSG00000013016
PSMC4	ENSG00000013275
MAN2B2	ENSG00000013288
SLC7A14	ENSG00000013293
CLDN11	ENSG00000013297
SLC25A39	ENSG00000013306
MVP	ENSG00000013364
NUB1	ENSG00000013374
PGM3	ENSG00000013375
RWDD2A	ENSG00000013392
CLK1	ENSG00000013441
POLR3B	ENSG00000013503
ANGEL1	ENSG00000013523
RNF14	ENSG00000013561
DNASE1L1	ENSG00000013563
DDX11	ENSG00000013573
HEBP1	ENSG00000013583
GPRC5A	ENSG00000013588
MAMLD1	ENSG00000013619
CD6	ENSG00000013725
TACC3	ENSG00000013810
UFL1	ENSG00000014123
POLA2	ENSG00000014138
ZC3H3	ENSG00000014164
CAPN1	ENSG00000014216
ACPP	ENSG00000014257
MDH1	ENSG00000014641
SLC30A9	ENSG00000014824
MTMR11	ENSG00000014914
COX15	ENSG00000014919
CCDC88C	ENSG00000015133
YAF2	ENSG00000015153
ZMYND11	ENSG00000015171
WAS	ENSG00000015285
DPEP1	ENSG00000015413
BID	ENSG00000015475
MATR3	ENSG00000015479
NPC1L1	ENSG00000015520
XYLT2	ENSG00000015532
RGPD5	ENSG00000015568
STMN4	ENSG00000015592
NUDCD3	ENSG00000015676
ISL1	ENSG00000016082
CHDH	ENSG00000016391
IL20RA	ENSG00000016402
CLCA1	ENSG00000016490
CLCA4	ENSG00000016602
GLT8D1	ENSG00000016864
ATP2C1	ENSG00000017260
IGF1	ENSG00000017427
SLC38A5	ENSG00000017483
RALBP1	ENSG00000017797
RUFY3	ENSG00000018189
CNTN1	ENSG00000018236
SLC11A1	ENSG00000018280
WWTR1	ENSG00000018408
AGPS	ENSG00000018510
ZNF806	ENSG00000018607
CXorf56	ENSG00000018610
ATP1A2	ENSG00000018625
TTC27	ENSG00000018699
ZNF582	ENSG00000018869
VSIG2	ENSG00000019102
PHLDB1	ENSG00000019144
MARCO	ENSG00000019169
CYP24A1	ENSG00000019186
PRDM11	ENSG00000019485
SYT13	ENSG00000019505
SNAI2	ENSG00000019549
CD74	ENSG00000019582
HGF	ENSG00000019991
ZRANB1	ENSG00000019995
NCDN	ENSG00000020129
ADGRA2	ENSG00000020181
CCT8L1P	ENSG00000020219
ZFP64	ENSG00000020256
MNAT1	ENSG00000020426
SAMD4A	ENSG00000020577
RUNX3	ENSG00000020633
MRE11	ENSG00000020922
PLEKHB1	ENSG00000021300
SERPINB1	ENSG00000021355
CYP3A43	ENSG00000021461
SLC7A9	ENSG00000021488
SPAST	ENSG00000021574
NRXN3	ENSG00000021645
OSBPL5	ENSG00000021762
AQR	ENSG00000021776
CPS1	ENSG00000021826
C8B	ENSG00000021852
FHL1	ENSG00000022267
RTF2	ENSG00000022277
GABRA1	ENSG00000022355
NLRP2	ENSG00000022556
SLC45A4	ENSG00000022567
RNF10	ENSG00000022840
ZNF839	ENSG00000022976
ZDHHC6	ENSG00000023041
GRAMD1B	ENSG00000023171
RNH1	ENSG00000023191
NDUFS1	ENSG00000023228
RB1CC1	ENSG00000023287
ERP44	ENSG00000023318
ALAS1	ENSG00000023330
BIRC3	ENSG00000023445
AKAP11	ENSG00000023516
GLRX2	ENSG00000023572
SNAPC1	ENSG00000023608
DERA	ENSG00000023697
STRAP	ENSG00000023734
ABCC2	ENSG00000023839
DEF6	ENSG00000023892
PLEKHO1	ENSG00000023902
GCLM	ENSG00000023909
UBR2	ENSG00000024048
EHD2	ENSG00000024422
DEPDC1	ENSG00000024526
CCDC28A	ENSG00000024862
RRAGD	ENSG00000025039
HSF2	ENSG00000025156
PHF20	ENSG00000025293
HSD17B6	ENSG00000025423
NR1H3	ENSG00000025434
TYMP	ENSG00000025708
NCAPH2	ENSG00000025770
TOMM34	ENSG00000025772
SEC63	ENSG00000025796
KPNA6	ENSG00000025800
VIM	ENSG00000026025
RTEL1-TNFRSF6B	ENSG00000026036
FAS	ENSG00000026103
RNASET2	ENSG00000026297
CD44	ENSG00000026508
KCNG1	ENSG00000026559
AGPAT4	ENSG00000026652
SLAMF7	ENSG00000026751
BTN3A1	ENSG00000026950
MIPEP	ENSG00000027001
PRKCH	ENSG00000027075
INSRR	ENSG00000027644
IFNGR1	ENSG00000027697
B4GALT7	ENSG00000027847
SH2D2A	ENSG00000027869
VRK2	ENSG00000028116
TNFRSF1B	ENSG00000028137
VEZT	ENSG00000028203
POU2F2	ENSG00000028277
BRD9	ENSG00000028310
SNX1	ENSG00000028528
TBPL1	ENSG00000028839
ARNTL2	ENSG00000029153
BCLAF1	ENSG00000029363
SLC39A9	ENSG00000029364
ANK1	ENSG00000029534
IBSP	ENSG00000029559
TFB1M	ENSG00000029639
RABEP1	ENSG00000029725
HMGB3	ENSG00000029993
NUP160	ENSG00000030066
BAK1	ENSG00000030110
MUSK	ENSG00000030304
IKZF2	ENSG00000030419
GRN	ENSG00000030582
FAM13B	ENSG00000031003
ARHGAP31	ENSG00000031081
CENPQ	ENSG00000031691
SARS1	ENSG00000031698
RANBP3	ENSG00000031823
ARID4A	ENSG00000032219
EIPR1	ENSG00000032389
PNPLA6	ENSG00000032444
IFT88	ENSG00000032742
ALG1	ENSG00000033011
ZCCHC8	ENSG00000033030
ABCF2	ENSG00000033050
CHPF2	ENSG00000033100
LRRC7	ENSG00000033122
FUT8	ENSG00000033170
UBA6	ENSG00000033178
GAB2	ENSG00000033327
ATP6V0A1	ENSG00000033627
PIAS1	ENSG00000033800
SLC4A7	ENSG00000033867
APBA2	ENSG00000034053
MAP2K3	ENSG00000034152
EFCAB1	ENSG00000034239
TMSB10	ENSG00000034510
ASTE1	ENSG00000034533
RNF19A	ENSG00000034677
PEX3	ENSG00000034693
GABARAPL2	ENSG00000034713
MYOC	ENSG00000034971
SH3YL1	ENSG00000035115
FAM136A	ENSG00000035141
VCL	ENSG00000035403
DEPDC1B	ENSG00000035499
DAPK2	ENSG00000035664
NSMAF	ENSG00000035681
ADSS2	ENSG00000035687
STAP1	ENSG00000035720
TIMP2	ENSG00000035862
RFC1	ENSG00000035928
TBC1D23	ENSG00000036054
CUL3	ENSG00000036257
MYOM2	ENSG00000036448
OTC	ENSG00000036473
CYP46A1	ENSG00000036530
AC118549.1	ENSG00000036549
SLC18A1	ENSG00000036565
USP2	ENSG00000036672
CASR	ENSG00000036828
TUBG2	ENSG00000037042
RPL26L1	ENSG00000037241
FLT4	ENSG00000037280
NSUN2	ENSG00000037474
FBXO42	ENSG00000037637
MFAP3	ENSG00000037749
MRI1	ENSG00000037757
METTL1	ENSG00000037897
HOXC8	ENSG00000037965
AGA	ENSG00000038002
PI4K2B	ENSG00000038210
BOD1L1	ENSG00000038219
MAT2B	ENSG00000038274
TLL1	ENSG00000038295
EDC4	ENSG00000038358
TRIO	ENSG00000038382
VCAN	ENSG00000038427
CLEC16A	ENSG00000038532
MSR1	ENSG00000038945
CDH1	ENSG00000039068
MTREX	ENSG00000039123
DNAH5	ENSG00000039139
ZFYVE16	ENSG00000039319
RIPOR1	ENSG00000039523
C6	ENSG00000039537
RAI14	ENSG00000039560
SOX30	ENSG00000039600
PNKP	ENSG00000039650
BEST2	ENSG00000039987
PHLPP2	ENSG00000040199
SPDL1	ENSG00000040275
STAU2	ENSG00000040341
SLC66A1	ENSG00000040487
CTNS	ENSG00000040531
RTN4R	ENSG00000040608
PHF23	ENSG00000040633
CDH10	ENSG00000040731
INPP4A	ENSG00000040933
RAB27B	ENSG00000041353
PSMA4	ENSG00000041357
MYO16	ENSG00000041515
LSG1	ENSG00000041802
PARP3	ENSG00000041880
TNC	ENSG00000041982
THAP3	ENSG00000041988
RIPOR3	ENSG00000042062
TDP1	ENSG00000042088
AIFM2	ENSG00000042286
C2orf83	ENSG00000042304
AL049834.1	ENSG00000042317
MED17	ENSG00000042429
RETSAT	ENSG00000042445
CAPG	ENSG00000042493
AP2S1	ENSG00000042753
USH2A	ENSG00000042781
ZPBP	ENSG00000042813
TG	ENSG00000042832
ADAM28	ENSG00000042980
BARX2	ENSG00000043039
DCUN1D1	ENSG00000043093
JADE2	ENSG00000043143
ZIC2	ENSG00000043355
LCP2	ENSG00000043462
TRIT1	ENSG00000043514
ADRB1	ENSG00000043591
GUCA2B	ENSG00000044012
CUL7	ENSG00000044090
CTNNA1	ENSG00000044115
PHKA2	ENSG00000044446
CNTLN	ENSG00000044459
EPHA3	ENSG00000044524
HSPA5	ENSG00000044574
DSG2	ENSG00000046604
GEMIN8	ENSG00000046647
OFD1	ENSG00000046651
GPM6B	ENSG00000046653
MAGEC2	ENSG00000046774
PREX2	ENSG00000046889
WDR37	ENSG00000047056
YTHDC2	ENSG00000047188
CTPS2	ENSG00000047230
ATP6V1H	ENSG00000047249
POLR2B	ENSG00000047315
FAM214A	ENSG00000047346
ARAP2	ENSG00000047365
TPR	ENSG00000047410
CP	ENSG00000047457
KIAA0556	ENSG00000047578
DTNBP1	ENSG00000047579
XK	ENSG00000047597
ANO2	ENSG00000047617
C12orf4	ENSG00000047621
SCML1	ENSG00000047634
WWC3	ENSG00000047644
ARHGAP6	ENSG00000047648
FAM184B	ENSG00000047662
MAP4	ENSG00000047849
GOPC	ENSG00000047932
ROS1	ENSG00000047936
USP28	ENSG00000048028
HDAC9	ENSG00000048052
TSPAN17	ENSG00000048140
NOP16	ENSG00000048162
CC2D2A	ENSG00000048342
RRM2B	ENSG00000048392
ZNF800	ENSG00000048405
TNFRSF17	ENSG00000048462
SNX29	ENSG00000048471
LMO3	ENSG00000048540
MRPS10	ENSG00000048544
GUCA1A	ENSG00000048545
RSF1	ENSG00000048649
VPS13D	ENSG00000048707
CELF2	ENSG00000048740
FAM120A	ENSG00000048828
R3HDM1	ENSG00000048991
COL9A2	ENSG00000049089
KITLG	ENSG00000049130
ERCC8	ENSG00000049167
ADAMTS6	ENSG00000049192
H6PD	ENSG00000049239
VAMP3	ENSG00000049245
PER3	ENSG00000049246
UTS2	ENSG00000049247
TNFRSF9	ENSG00000049249
EPN3	ENSG00000049283
LTBP1	ENSG00000049323
RCN1	ENSG00000049449
ELN	ENSG00000049540
RFC2	ENSG00000049541
ARID1B	ENSG00000049618
CLPTM1L	ENSG00000049656
NEDD4L	ENSG00000049759
FOXP3	ENSG00000049768
PPP1R3F	ENSG00000049769
HEXB	ENSG00000049860
PTCD2	ENSG00000049883
NEXMIF	ENSG00000050030
JKAMP	ENSG00000050130
DKK3	ENSG00000050165
ARHGEF5	ENSG00000050327
NFE2L3	ENSG00000050344
MCUR1	ENSG00000050393
LIMA1	ENSG00000050405
LETMD1	ENSG00000050426
SLC4A8	ENSG00000050438
LAMC3	ENSG00000050555
PTGER3	ENSG00000050628
TNIP3	ENSG00000050730
MAPK9	ENSG00000050748
COL23A1	ENSG00000050767
BCAR1	ENSG00000050820
FAM160A2	ENSG00000051009
HERPUD1	ENSG00000051108
HOMER3	ENSG00000051128
RAD51	ENSG00000051180
POLQ	ENSG00000051341
PIK3CB	ENSG00000051382
CYBA	ENSG00000051523
THOC3	ENSG00000051596
HEBP2	ENSG00000051620
MPHOSPH9	ENSG00000051825
PLEKHA5	ENSG00000052126
PRSS8	ENSG00000052344
SIKE1	ENSG00000052723
RRP12	ENSG00000052749
FNIP2	ENSG00000052795
MSMO1	ENSG00000052802
TTC17	ENSG00000052841
ALX4	ENSG00000052850
FSTL4	ENSG00000053108
FOXN3	ENSG00000053254
METTL24	ENSG00000053328
AKR7A2	ENSG00000053371
MRTO4	ENSG00000053372
NNAT	ENSG00000053438
USE1	ENSG00000053501
MCF2L2	ENSG00000053524
NRIP2	ENSG00000053702
LAMA3	ENSG00000053747
AP5M1	ENSG00000053770
ANAPC4	ENSG00000053900
KCNQ1	ENSG00000053918
TRAPPC3	ENSG00000054116
THRAP3	ENSG00000054118
PHPT1	ENSG00000054148
ENTPD2	ENSG00000054179
LY75	ENSG00000054219
ARID4B	ENSG00000054267
OPN3	ENSG00000054277
SDCCAG8	ENSG00000054282
PTPRN	ENSG00000054356
HHAT	ENSG00000054392
KIF1B	ENSG00000054523
FOXC1	ENSG00000054598
TBC1D22A	ENSG00000054611
SYNE2	ENSG00000054654
PLEKHH1	ENSG00000054690
ATP9A	ENSG00000054793
SPO11	ENSG00000054796
CBLN4	ENSG00000054803
CHRDL2	ENSG00000054938
FAM168A	ENSG00000054965
RELT	ENSG00000054967
GALC	ENSG00000054983
NOP58	ENSG00000055044
SZRD1	ENSG00000055070
KCNH2	ENSG00000055118
CUL1	ENSG00000055130
FAM114A2	ENSG00000055147
CYFIP2	ENSG00000055163
TAB2	ENSG00000055208
GINM1	ENSG00000055211
EIF2AK2	ENSG00000055332
AC022966.1	ENSG00000055483
KMT2C	ENSG00000055609
MCOLN3	ENSG00000055732
CCDC85A	ENSG00000055813
PUM2	ENSG00000055917
MRPL43	ENSG00000055950
ITIH4	ENSG00000055955
ITIH1	ENSG00000055957
HPF1	ENSG00000056050
ZFR	ENSG00000056097
ZNF280C	ENSG00000056277
NPFFR2	ENSG00000056291
PHF21B	ENSG00000056487
TRAF1	ENSG00000056558
RC3H2	ENSG00000056586
IL17RB	ENSG00000056736
TRAF3IP2	ENSG00000056972
GYG2	ENSG00000056998
DCBLD2	ENSG00000057019
SERPINB3	ENSG00000057149
SOAT1	ENSG00000057252
PKP2	ENSG00000057294
MSH4	ENSG00000057468
F7	ENSG00000057593
GDI2	ENSG00000057608
PRDM1	ENSG00000057657
ATG5	ENSG00000057663
TMCC3	ENSG00000057704
PITHD1	ENSG00000057757
MTA3	ENSG00000057935
USP13	ENSG00000058056
ATP11B	ENSG00000058063
LAMC2	ENSG00000058085
CDK14	ENSG00000058091
SEC61A1	ENSG00000058262
PPP1R12A	ENSG00000058272
RASGRF1	ENSG00000058335
CAMK2B	ENSG00000058404
CROCC	ENSG00000058453
POLR3E	ENSG00000058600
ATP2B4	ENSG00000058668
ZC3H11A	ENSG00000058673
RIOK2	ENSG00000058729
YIPF1	ENSG00000058799
NDC1	ENSG00000058804
DGKG	ENSG00000058866
FLYWCH1	ENSG00000059122
UNKL	ENSG00000059145
TBXAS1	ENSG00000059377
PARP12	ENSG00000059378
ALDH18A1	ENSG00000059573
TARBP1	ENSG00000059588
GATB	ENSG00000059691
MXD1	ENSG00000059728
CDK17	ENSG00000059758
DNAJC25	ENSG00000059769
SLC2A3	ENSG00000059804
PSD	ENSG00000059915
CTDP1	ENSG00000060069
YBX3	ENSG00000060138
STYK1	ENSG00000060140
WNK1	ENSG00000060237
CCAR1	ENSG00000060339
OGFR	ENSG00000060491
GNA15	ENSG00000060558
CREB3L3	ENSG00000060566
PIGV	ENSG00000060642
PTPRU	ENSG00000060656
SNRNP40	ENSG00000060688
RIMBP2	ENSG00000060709
COL11A1	ENSG00000060718
QSER1	ENSG00000060749
MPC1	ENSG00000060762
ACAA1	ENSG00000060971
BCAT1	ENSG00000060982
HDAC7	ENSG00000061273
LZTS1	ENSG00000061337
PRDM6	ENSG00000061455
WNT8A	ENSG00000061492
SPAG4	ENSG00000061656
NCKAP1	ENSG00000061676
MRPS35	ENSG00000061794
GUCY1B1	ENSG00000061918
SFSWAP	ENSG00000061936
TNK2	ENSG00000061938
MON2	ENSG00000061987
CDH3	ENSG00000062038
ARSF	ENSG00000062096
GPBP1	ENSG00000062194
DGAT2	ENSG00000062282
ZNF112	ENSG00000062370
CS	ENSG00000062485
LTK	ENSG00000062524
MRPS24	ENSG00000062582
ELMO2	ENSG00000062598
WAPL	ENSG00000062650
VMP1	ENSG00000062716
APPBP2	ENSG00000062725
POLD1	ENSG00000062822
SEZ6	ENSG00000063015
EIF4B	ENSG00000063046
SLC6A16	ENSG00000063127
BICRA	ENSG00000063169
SPHK2	ENSG00000063176
RPL18	ENSG00000063177
CA11	ENSG00000063180
ISOC2	ENSG00000063241
U2AF2	ENSG00000063244
EPN1	ENSG00000063245
MED29	ENSG00000063322
AHRR	ENSG00000063438
GSC2	ENSG00000063515
ZNF275	ENSG00000063587
MTMR1	ENSG00000063601
GPC1	ENSG00000063660
ADCK1	ENSG00000063761
HAGH	ENSG00000063854
RNF4	ENSG00000063978
CASP8	ENSG00000064012
LIMCH1	ENSG00000064042
INTS13	ENSG00000064102
TM7SF3	ENSG00000064115
DLX3	ENSG00000064195
SPA17	ENSG00000064199
TSPAN32	ENSG00000064201
CCN5	ENSG00000064205
DMRT3	ENSG00000064218
ST3GAL6	ENSG00000064225
ATP2C2	ENSG00000064270
NGFR	ENSG00000064300
CDON	ENSG00000064309
TAF2	ENSG00000064313
HIPK2	ENSG00000064393
TNPO3	ENSG00000064419
BORCS8-MEF2B	ENSG00000064489
RFXANK	ENSG00000064490
TMEM161A	ENSG00000064545
LPAR2	ENSG00000064547
CTSA	ENSG00000064601
SUGP2	ENSG00000064607
SLC12A2	ENSG00000064651
SNX24	ENSG00000064652
EYA2	ENSG00000064655
CNN2	ENSG00000064666
ABCA7	ENSG00000064687
SNCAIP	ENSG00000064692
DDX20	ENSG00000064703
BTBD1	ENSG00000064726
FAR2	ENSG00000064763
BCAS1	ENSG00000064787
POU1F1	ENSG00000064835
CHI3L2	ENSG00000064886
SBNO2	ENSG00000064932
PMS1	ENSG00000064933
HMG20B	ENSG00000064961
CALCRL	ENSG00000064989
TAF11	ENSG00000064995
ANKS1A	ENSG00000064999
AP3D1	ENSG00000065000
ZNF76	ENSG00000065029
SLC9A3R2	ENSG00000065054
NTHL1	ENSG00000065057
UHRF1BP1	ENSG00000065060
GNAI3	ENSG00000065135
IPO5	ENSG00000065150
OAT	ENSG00000065154
WDR3	ENSG00000065183
PKN2	ENSG00000065243
WDR18	ENSG00000065268
TRAM2	ENSG00000065308
NTN1	ENSG00000065320
GLP2R	ENSG00000065325
MCM10	ENSG00000065328
DGKA	ENSG00000065357
ERBB3	ENSG00000065361
ROPN1	ENSG00000065371
ANKRD44	ENSG00000065413
KARS1	ENSG00000065427
ADAT1	ENSG00000065457
PDIA5	ENSG00000065485
TBC1D22B	ENSG00000065491
NDUFB4	ENSG00000065518
SPEN	ENSG00000065526
MYLK	ENSG00000065534
ZC3H15	ENSG00000065548
MAP2K4	ENSG00000065559
PACC1	ENSG00000065600
SNAP91	ENSG00000065609
SLK	ENSG00000065613
CYB5R4	ENSG00000065615
